id,keyword,text,target,country,region,sub-region
39,accident,"This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj",0,India,Asia,Southern Asia
40,accident,#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1,United States,Americas,Northern America
41,accident,my back and neck are still fucked up from the accident 😡😡😭😭,0,United States,Americas,Northern America
42,accident,RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,1,United States,Americas,Northern America
46,accident,"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1,India,Asia,Southern Asia
50,accident,Please help our friends in - they have had a non fault accident that's resulted in their vehicle being writte…,0,Germany,Europe,Western Europe
52,accident,David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1,United Kingdom,Europe,Northern Europe
53,accident,An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1,United States,Americas,Northern America
55,accident,I actually posted this by accident to twitter but have decided this can stay,0,Australia,Oceania,Australia and New Zealand
56,accident,Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,0,United States,Americas,Northern America
60,accident,"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1,India,Asia,Southern Asia
63,accident,You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,0,Nigeria,Africa,Sub-Saharan Africa
66,accident,Judge less smile more. It isn’t the oldest profession by accident lol,0,United States,Americas,Northern America
68,aftershock,3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1,United States,Americas,Northern America
70,aftershock,Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,0,Czech Republic,Europe,Eastern Europe
75,aftershock,A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1,Poland,Europe,Eastern Europe
77,aftershock,2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,0,Canada,Americas,Northern America
78,aftershock,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1,United States,Americas,Northern America
80,aftershock,A other Hard hit https://t.co/x3e2mf6DKo,0,Philippines,Asia,South-eastern Asia
81,aftershock,"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.",0,Pakistan,Asia,Southern Asia
82,aftershock,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1,United States,Americas,Northern America
83,aftershock,Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,0,Indonesia,Asia,South-eastern Asia
91,aftershock,"Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg",0,United States,Americas,Northern America
93,aftershock,"Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU",0,Australia,Oceania,Australia and New Zealand
95,aftershock,this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,0,United States,Americas,Northern America
106,aftershock,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1,United States,Americas,Northern America
112,aftershock,Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1,United States,Americas,Northern America
119,airplane%20accident,"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C",0,Australia,Oceania,Australia and New Zealand
121,airplane%20accident,Conclusion 8 on previous page is incorrect IMHO. “The witness observations of a streak of light we… https://t.co/tz4Xv7uXCw,0,United States,Americas,Northern America
122,airplane%20accident,"The celebrities in Iran that are very sadly about our compatriots that killed with downing UK airplane,not only di… https://t.co/CtjVwIcH2v",0,Iran,Asia,Southern Asia
123,airplane%20accident,So Iranian radars cannot tell the difference between an incoming missile and an out going Ukrainian airplane? What… https://t.co/hoeEJEUIHE,1,United States,Americas,Northern America
131,airplane%20accident,"No, I was referring to the shooting down of the airplane. I really do…",0,Georgia,Asia,Western Asia
132,airplane%20accident,"No, I was referring to the shooting down of the airplane. I… https://t.co/xKVqRdtjhR",0,Canada,Americas,Northern America
133,airplane%20accident,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000 fee…,0,Canada,Americas,Northern America
135,airplane%20accident,"Iran did not blow up an airplane by accident, they intended for it to be shot down! The accident is that it was a civilian aircraft!",1,United States,Americas,Northern America
138,airplane%20accident,"Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, kidnap,…",0,Nigeria,Africa,Sub-Saharan Africa
139,airplane%20accident,"Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, k… https://t.co/1e2jgI6C8Q",0,Nigeria,Africa,Sub-Saharan Africa
140,airplane%20accident,So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYONE really believe that?!!! 😡😡😡😡,1,United States,Americas,Northern America
141,airplane%20accident,You may be unaware that CND is currently in mourning. 57 Canadians were downed in an airplane by accident in Iran. Flag…,1,Canada,Americas,Northern America
142,airplane%20accident,"Sorry for your loss, Iran should never have shot the airplane out of the sky. ‘accident’ they say",0,Canada,Americas,Northern America
143,airplane%20accident,"It wasn't, Iranians knew when takeoff was happening &amp; they knew the airplane manufacturer was American.… https://t.co/9JNbfB0zWH",0,Canada,Americas,Northern America
146,airplane%20accident,airplane accident answers. The US designated the Iranian government as terrorists and ha… https://t.co/7a2OgPYNiQ,0,United States,Americas,Northern America
148,airplane%20accident,"Perhaps prodded by others, Zelensky decides Ukraine has nothing to lose by piling onto Iran. Never seen so many op… https://t.co/bvZj33dZEp",0,United States,Americas,Northern America
151,airplane%20accident,"Odd, how the Iranians ACCIDENTALLY blew up the airplane after take off. Was someone just playing with… https://t.co/Y2Yx1gZ6hQ",0,United States,Americas,Northern America
153,airplane%20accident,"And. No excuse for shooting down a commercial airplane with innocent civilians on. Oh! Sorry Jeremy, as you say, it was an…",0,United Kingdom,Europe,Northern Europe
154,airplane%20accident,You beat me to this response. You have to TRACK an airplane with a surface to air missile.…,0,United States,Americas,Northern America
155,airplane%20accident,"It is unimaginable to have 174 people gone in one ""accident."" How could anyone point a surface to air missile at a… https://t.co/7Abwo7HXuz",0,Canada,Americas,Northern America
157,airplane%20accident,"And. No excuse for shooting down a commercial airplane with innocent civilians on. Oh! Sorry Jeremy, as you say, it… https://t.co/gUkc4ToutN",0,United Kingdom,Europe,Northern Europe
159,airplane%20accident,You beat me to this response. You have to TRACK an airplane with a surface to air missi… https://t.co/RFyWvNqO2Z,0,United States,Americas,Northern America
160,airplane%20accident,Good lord...... Yeah. It was an accident. The airplane didn't give the missile the right away.... 😒,0,Canada,Americas,Northern America
163,airplane%20accident,How exactly does one accidentally fire a rocket? At an airplane leaving your own countries airport. This… https://t.co/LQdfG1THTN,0,United States,Americas,Northern America
164,airplane%20accident,?!?!?! SO THEY SAYING SHOOTING DOWN THAT AIRPLANE W INNOCENT PPL WAS AN ACCIDENT???? BRUH.,1,Canada,Americas,Northern America
169,airplane%20accident,"Besides the Airplane being shot down by ""Accident""..... Other ""things"" are HABBENING also.....!! High-level pro-Iran militi…",0,United States,Americas,Northern America
170,airplane%20accident,CBC news just said there was an operator on a missile launcher that shot down the airplane. cockpit was taken out.… https://t.co/uy2YYAqeAr,1,Canada,Americas,Northern America
177,airplane%20accident,# Trump in Accident # Crash - Airplane # Ukraine is the main factor as the most powerful person in the world whose count…,0,Iran,Asia,Southern Asia
178,airplane%20accident,# Trump in Accident # Crash - Airplane # Ukraine is the main factor as the most powerful person in the world whose… https://t.co/mSkuJJe79X,0,Iran,Asia,Southern Asia
179,airplane%20accident,"Although it's late. I extend my condolences to all the families of the victims of the Ukrainian Airplane Falling, inclu…",1,Brazil,Americas,Latin America and the Caribbean
180,airplane%20accident,Iranian military admitted it shot down Ukrainian airplane by missiles accidentally. It is not an accident! It is a crim…,1,Egypt,Africa,Northern Africa
182,airplane%20accident,"Although it's late. I extend my condolences to all the families of the victims of the Ukrainian Airplane Falling,… https://t.co/HBAXNWmVoZ",1,Iran,Asia,Southern Asia
183,airplane%20accident,"Iran shot down an airplane full of innocent people. Say what you want about Trump, but that’s not an appropriate r… https://t.co/dEdr4YnZK9",1,United States,Americas,Northern America
184,airplane%20accident,She is still silent about the killing of 176 innocent people in Iran. Iranian military admitted it shot down Ukrainian a…,1,Netherlands,Europe,Western Europe
190,ambulance,Fire Engulfs Ambulance Conveying Corpse of Catholic Priest’s Mother; #streetjournal https://t.co/gK6dAGKRrL,1,Ireland,Europe,Northern Europe
193,ambulance,"#USDJPY despite Richter Scale overbought, Fxstreet Line Up Swissquote bullish long, Jason Sen Mr. Ambulance Chaser B…",0,United States,Americas,Northern America
194,ambulance,"#USDJPY despite Richter Scale overbought, Fxstreet Line Up Swissquote bullish long, Jason Sen Mr. Ambulance Cha… https://t.co/iVuuacsq54",0,United States,Americas,Northern America
197,ambulance,I hope there’s going to be an ambulance waiting at the bottom because there’s no way that fat lump can cli… https://t.co/eQ0fg2Fo7i,0,United Kingdom,Europe,Northern Europe
200,ambulance,"Yer severe Ambulance ramping, under funding/resourcing… https://t.co/kpenM6wiej",0,Australia,Oceania,Australia and New Zealand
207,ambulance,What racism ?..Absolutely delighted… https://t.co/WCP0oyZJVY,0,United Kingdom,Europe,Northern Europe
209,ambulance,"ooh, guys, do you know where in gauteng people go to study nursing and the ambulance nurses who keep you alive in transit…",0,Malawi,Africa,Sub-Saharan Africa
212,ambulance,"Long night, mom's sugar dropped to 28 so dad called an ambulance. No fun at hospital with late shift.",1,United States,Americas,Northern America
213,ambulance,If you have Norovirus there's no place like home! The winter bug is unpleasant - but usual goes away after a coupl… https://t.co/AigErM2h2m,0,United Kingdom,Europe,Northern Europe
215,ambulance,"Unilorin did not have oxygen, A whole University of ilorin not having oxygen they had to refer us to UITH thinking maybe t…",0,Egypt,Africa,Northern Africa
217,ambulance,Angels Over Africa: A Netcare 911 air ambulance with Doctor and Paramedic has been activated for an inter-hospital-trans…,1,Malawi,Africa,Sub-Saharan Africa
218,ambulance,For all your ambulance 🚑 needs call us today on our Toll-Free number 👉0819696 https://t.co/aWzJw2wxkx,0,Namibia,Africa,Sub-Saharan Africa
219,ambulance,What a lovely message to receive - thank you so much. 😃💚,0,United Kingdom,Europe,Northern Europe
221,ambulance,"When technical brains speak to a raging debate... Mostly, their disposition &amp; knowledge calms the storm. Even more… https://t.co/vDnC9tkXDB",0,Ghana,Africa,Sub-Saharan Africa
223,ambulance,Another race baiting ambulance chaser exposed ..this is racism in action but you and peop… https://t.co/2UhePawVK9,0,United Kingdom,Europe,Northern Europe
227,annihilated,"Basically let people work hard for their money, save, invest wisely .. then snatch it from them to fu… https://t.co/RkEjh1oqS7",0,United Kingdom,Europe,Northern Europe
233,annihilated,"Actually impossible to tell whether Dan or Boris is less across their briefs. A journalist, almost any journalist,… https://t.co/4cg1Xr6DqN",0,United Kingdom,Europe,Northern Europe
235,annihilated,Good riddance to bad rubbish ...just like we'll be saying about you when you're annihilated at #FedElection2020,0,Australia,Oceania,Australia and New Zealand
239,annihilated,Just reminiscing about the time I annihilated a PB and made it look easy! 117.5kg feeling fiine! Bring on GPC 💪🏻… https://t.co/zPO8jagq7v,0,Australia,Oceania,Australia and New Zealand
240,annihilated,"Titans, raise your tridents and drink to Victory We annihilated our enemies yesterday and sent them to hades where they…",1,Nigeria,Africa,Sub-Saharan Africa
244,annihilated,I will appreciate the BBC igbo when it starts to expose how Britain partook in the biafra genocide were over 4 millio…,1,Ireland,Europe,Northern Europe
246,annihilated,Piers Morgan Annihilated With Simple Logic https://t.co/rClWbc7F9l,0,Canada,Americas,Northern America
247,annihilated,Piers Morgan Annihilated With Simple Logic | Vegan Advocacy On Good Morning Britain https://t.co/rClWbc7F9l,0,Canada,Americas,Northern America
248,annihilated,Piers Morgan Annihilated With Simple Logic | Vegan Advocacy https://t.co/rClWbc7F9l,0,Canada,Americas,Northern America
253,annihilated,They'd get annihilated by '01 Miami https://t.co/b8lOC0URae,1,United States,Americas,Northern America
255,annihilated,The pores on my nose after getting annihilated by my fingers at 2am: https://t.co/ydkDE1Rs3T,0,Canada,Americas,Northern America
256,annihilated,That moment when Doc Ock(in Spidey’s body) realizes that Spidey has been holding back in their fights all this time and Pete…,0,United Kingdom,Europe,Northern Europe
258,annihilated,Nicki minaj single handedly annihilated the male species the day this dropped !! https://t.co/v7KK4pWdtK,0,United Kingdom,Europe,Northern Europe
259,annihilated,Answer 4: Soooooo happy I did not renew my season tickets. I would have lost my mind. I am very di… https://t.co/dSpkJKHw96,0,United States,Americas,Northern America
262,annihilated,Should mention the 2013 Florida State team as well. They annihilated everybody they played except Auburn who they… https://t.co/S3Y2NzCxoL,0,United States,Americas,Northern America
263,annihilated,"Machines changed music; pretty much annihilated the concept of a live band playing real instruments. However, machi… https://t.co/wxgFpzbOIt",0,United States,Americas,Northern America
264,annihilated,I’m getting absolutely annihilated but I’m hooked on Tarkov,0,United States,Americas,Northern America
270,annihilated,That was before #auspol was onto #TheLiarFromTheShire and his manipulation of the election… https://t.co/Zg16ZU0Mf9,0,Australia,Oceania,Australia and New Zealand
275,annihilated,Thot Status: Annihilated,0,United States,Americas,Northern America
276,annihilated,This guy just annihilated the best defense in college football and all we had to do was lose two games i am sick,0,United States,Americas,Northern America
277,annihilated,"Broke, destroyed, annihilated, shattered his ankle and abou was never d same again...",0,Nigeria,Africa,Sub-Saharan Africa
280,annihilated,"All valid, and total body of work matters, but LSU proved to me they were the worthy 1 seed when t… https://t.co/ghzKZC7Blw",0,United States,Americas,Northern America
282,annihilated,Bernie sanders is the most coddled politician today. He will get annihilated if win the nomination.,0,United States,Americas,Northern America
284,annihilation,Lots of talk about violence carried out in the name of Hindus cow vigilantes and lynching. Extremely… https://t.co/Trq3KblIx8,0,India,Asia,Southern Asia
290,annihilation,What in the annihilation is this? https://t.co/R806oQ6eaq,0,Nigeria,Africa,Sub-Saharan Africa
293,annihilation,Anyone know of an official site where we can oppose the total annihilation of South Africa / new health system reform?,1,South Africa,Africa,Sub-Saharan Africa
294,annihilation,"Two alien races go to war, and Earth is caught in the middle. Now it's up t… https://t.co/IkLFXK1SeK",0,Spain,Europe,Southern Europe
295,annihilation,The strangest part is the palpable disappointment that they will no longer rely on public funds. After years of austerity +…,0,United Kingdom,Europe,Northern Europe
296,annihilation,"Like the Iran/Iraq war, I root for mutual annihilation https://t.co/x5Gv676NEY",1,United States,Americas,Northern America
300,annihilation,"Russia Blames Trump’s Iran Strike on Impeachment: “For Trump, the annihilation of an Iranian General presents a decen…",1,United States,Americas,Northern America
303,annihilation,ANNIHILATION https://t.co/3QhIwn016i,0,Australia,Oceania,Australia and New Zealand
304,annihilation,the biggest Fs in the chat of all 2019 film twitter is that this fake “Cats” trailer w/ the Annihilation score dubbed over t…,0,United States,Americas,Northern America
305,annihilation,"99¢ Nexus: The Araphym, The Darkening Part 3. A horror/paranormal ebook novelette by E. H . James. The only thing standing…",0,Canada,Americas,Northern America
310,annihilation,Happy to see people regaining conscience... Afterall those who have soul can't just stand and watch the… https://t.co/RUqUtjiCx1,0,India,Asia,Southern Asia
313,annihilation,Starting Annihilation rn for the first time somehow,0,United States,Americas,Northern America
316,annihilation,Are you speaking about the atrocities and annihilation of Christians across the Middle East committed by Muslims daily? #Sat…,1,United States,Americas,Northern America
317,annihilation,Yeah I was surprised too when I heard it first! Another gem of an electronic score is this… https://t.co/ttfHyc2neO,0,India,Asia,Southern Asia
318,annihilation,"You don't understand systemic oppression, that the cost for oppressed is total, complete anni… https://t.co/RGqeYk2Z7b",0,India,Asia,Southern Asia
320,annihilation,annihilation on hulu,0,United States,Americas,Northern America
323,apocalypse,no amount of sci-fi media could’ve prepared me for this aspect of the climate apocalypse https://t.co/Pv6spn1r9l,1,Spain,Europe,Southern Europe
324,apocalypse,The Four Horsemen of the Apocalypse https://t.co/WeY8JusTe6,0,United States,Americas,Northern America
328,apocalypse,no amount of sci-fi media could’ve prepared me for this aspect of the climate apocalypse,1,Estonia,Europe,Northern Europe
332,apocalypse,I like this review of 's #ApocalypseCow. (https://t.co/jHcxBFXsGX) It's fair about Monbiot's views -… https://t.co/cXPzQCLKDf,0,United Kingdom,Europe,Northern Europe
333,apocalypse,Ancient Viking Runestone's Warning Of 'Ragnarok' Apocalypse Predicts Extreme Climate Change... https://t.co/WchvcbLBoE,1,United States,Americas,Northern America
336,apocalypse,Apocalypse,0,Thailand,Asia,South-eastern Asia
339,apocalypse,"#Veganuary is here! 🍔 Have you tried one of our (v) burgers? Today's pick; Falafel Burger with lettuce, pickled sla… https://t.co/e9xr0Fkhkz",0,South Africa,Africa,Sub-Saharan Africa
341,apocalypse,"Lately I've been thinking again about what , Miriam Rose Ungunmerr Baumann, and Gerard Manley Hopkins tell…",0,Australia,Oceania,Australia and New Zealand
342,apocalypse,Common sense on Twitter... Is this the first sign of the apocalypse 😂 you look great!,1,Ireland,Europe,Northern Europe
343,apocalypse,Images bibliques – Apocalypse 21:3-4 #LeChrist #LeSeigneur #autorité #JésusChrist #Dieu #laRédemption… https://t.co/IzB3xwOTU5,0,France,Europe,Western Europe
344,apocalypse,The Jam - Setting Sons Carter USM - 30 Something Jimmy Page - Outrider Nirvana - Nevermind Guns N Roses - Appetite… https://t.co/5gNapTMu0t,0,United Kingdom,Europe,Northern Europe
345,apocalypse,"4-32-1 Pandémie,apocalypse now... #soupir https://t.co/wSQRcHgdHb",0,Belgium,Europe,Western Europe
348,apocalypse,Apocalypse chic,0,Australia,Oceania,Australia and New Zealand
349,apocalypse,Join and his chums this month for an improvised apocalypse movie! How would you like to see the world e… https://t.co/zcSAgVfuHT,0,United Kingdom,Europe,Northern Europe
355,apocalypse,"Damn, I finally dreamt of a real apocalypse and it wasn’t a short dream. Only in half of my dream I came to the rea… https://t.co/CGb5QgptMk",0,Belgium,Europe,Western Europe
362,apocalypse,remember you said that we created God in our image? I think this here is us creating the often biblical apocalypse.,0,South Africa,Africa,Sub-Saharan Africa
365,armageddon,It’s Armageddon for wheelie bins.,0,United Kingdom,Europe,Northern Europe
370,armageddon,"White: ""I Saw Trump Riding Golden Horse Alongside Jesus During Armageddon."" I don't claim to be an expert on Jesus, but t…",0,United States,Americas,Northern America
373,armageddon,"It was pitch black at 9.30am in Mallacoota as more than 4,000 people fled AustralianFires, seeking shelter on the b… https://t.co/YtSAuNs5j8",0,United States,Americas,Northern America
379,armageddon,"i grew up with the 70s ryouma and i love him so much. i also love armageddon ryouma, but new getter ryouma… https://t.co/15m5mg8TCP",0,Indonesia,Asia,South-eastern Asia
380,armageddon,Have you ever thought about making another Spawn game? Like Spawn Armageddon back in the days.,0,United States,Americas,Northern America
381,armageddon,"Glad that we are going to make domestic flights cheaper for everyone, increasing the amount of CO2 in the air and s… https://t.co/07PwCJIulM",0,United Kingdom,Europe,Northern Europe
383,armageddon,"[Music] DJ Joenel – Armageddon Ft. Ajebo Hustlers, Dr Barz &amp; Dan Dizzy https://t.co/w9VTUBqHOE",0,Nigeria,Africa,Sub-Saharan Africa
388,armageddon,The ONLY reason that Jesus would be riding along side of tRump would be to show him the gates of hell w… https://t.co/0qLG3G8yko,0,United States,Americas,Northern America
389,armageddon,Sounds strikingly similar to the Worms: Armageddon CD!,0,United States,Americas,Northern America
390,armageddon,This chick clearly needs glasses because I saw a golden horse’s ass walking with Jesus into Armageddon.,0,United States,Americas,Northern America
391,army,The story that caught my eye: the Davinder Singh saga gets curiouser and curiouser.. the ‘deep state’ has much to answ…,0,India,Asia,Southern Asia
394,army,[BATCH 2 OF DONATIONS] ARMY! The second batch of donations was already given to the Philippine Red Cross! We are very ha…,0,Switzerland,Europe,Western Europe
395,army,Today Pak Army soldiers will b thanking to Indian Army.If the Indian Army did not carry out deadly strikes in Neelum Valle…,1,India,Asia,Southern Asia
397,army,"ARMY: I'm tired of being 🤡 Also ARMY waiting for 6pm kst: we will get something later, we are sure of it. 🧐 #BTSARMY #B…",0,Australia,Oceania,Australia and New Zealand
401,army,"""As If Jama Masjid Is In Pak"": Judge Rebukes Cops In Bhim Army Case https://t.co/V3wdkPhVq0 #NDTVNewsBeeps #BhimArmy https://t.co…",1,India,Asia,Southern Asia
406,army,Weverse Official BTS | V ↘ [ARMY ZIP] BTS Cinema (Movie Poster) A neo-noir filled with unexpected plot twists and shocki…,0,United States,Americas,Northern America
411,army,J-Hope's 'Chicken Noodle Soup (feat. Becky G)' MV has passed 130 million views. #iHeartsAwards #BestFanArmy…,0,Australia,Oceania,Australia and New Zealand
418,army,Army IDs Two Paratroopers Killed by Roadside Bomb in Afghanistan | https://t.co/eug1zOy1lJ https://t.co/lujCwMUtcD,1,United States,Americas,Northern America
420,army,"Avalanches hit Army &amp; BSF posts, 4 jawans rescued but 1 jawan is still missing. Bad weather hampers rescue operations. https:…",1,India,Asia,Southern Asia
423,army,[VIDEO] A groom from the Philippines danced to a medley of songs with his friends on his wedding for his new br…,0,United States,Americas,Northern America
431,army,NW THIS IS STILL THE FUNNIEST SHT EVER https://t.co/JCxknn6ITI,0,United Kingdom,Europe,Northern Europe
436,army,"The two genders, Emasculated and Literally In The Army.",0,United States,Americas,Northern America
444,army,"After the most brutal and provocative statement of the DGISPR (should an already butchered be butchered again), we are forc…",1,Saudi Arabia,Asia,Western Asia
449,army,The latest #Bloodshot trailer has Vin Diesel rebelling from an army of super soldiers (via ) https://t.co/aU…,0,United States,Americas,Northern America
452,arson,Firefighter Let Out of Jail Despite 'Serious Sex Offenses' Arrested for Starting 17 Fires in Australia https://t.co/GiMhYIlwGC,1,United Kingdom,Europe,Northern Europe
453,arson,"Australia since 1910. This one image says it all. Arson, my ass... total denier bollocks #AustralianBushfireDisaster…",0,Sweden,Europe,Northern Europe
454,arson,Funny (not) how the Australian authorities have investigated nearly 200 people for arson and already charged some.… https://t.co/6MaT9MYXGa,1,United Kingdom,Europe,Northern Europe
457,arson,I believe this is the most credible current information on arsonists and… https://t.co/5aunr5kveV,1,Australia,Oceania,Australia and New Zealand
459,arson,It's 13 yrs old but imagine they were #JNU students For burning US flag 3 Yale students (1 Xtian &amp; 2 Muslm names) were ch…,1,India,Asia,Southern Asia
460,arson,"""Only about 1 per cent of the land burnt in NSW this bushfire season can be officially attribu… https://t.co/prCXHHyt1B",1,Finland,Europe,Northern Europe
462,arson,I don't know why they Hon Judges get carried away? they should have stuck to the law. No one is den… https://t.co/gwDfJdcsaN,0,India,Asia,Southern Asia
469,arson,The inquiry will show an alarming increase in the numb…,0,Australia,Oceania,Australia and New Zealand
470,arson,"Climate change is now the #1 cause of arson. Or perhaps arson is the #1 cause of #ClimateChange Whatever it is, the sol…",0,Australia,Oceania,Australia and New Zealand
475,arson,Boats on fire in PA small boat harbour – arson suspected https://t.co/k7HGhdjLTQ via,1,South Africa,Africa,Sub-Saharan Africa
476,arson,The inquiry will show an alarming increase in the n… https://t.co/VAN8Gf8Cx3,1,Australia,Oceania,Australia and New Zealand
478,arson,Map of 379k tweets from 190k accounts on Aus bushfires and arson. The narrative that arsonists (and not climate change) are res…,0,Indonesia,Asia,South-eastern Asia
480,arson,"We cannot stop bushfires, we must plan to live with them. This means significant change, including information and… https://t.co/XX4QCfV9h3",0,Australia,Oceania,Australia and New Zealand
482,arson,The guy next to me is texting people “arson fact file” bushfire conspiracy theories 🤪🙃,0,Australia,Oceania,Australia and New Zealand
483,arson,I've gotten a lot of hate mail for our latest article about the actual arson figures for this bushfire season. Some have accus…,0,Australia,Oceania,Australia and New Zealand
487,arson,Yeah because arson and poor forest management is not climate change.,0,United States,Americas,Northern America
491,arson,As fire chiefs in NSW have made clear there may be a few cases of arson but most fires are caused by ligh… https://t.co/7GDlTmGvrO,0,Australia,Oceania,Australia and New Zealand
498,arson,"TASA member et al. was in the recently on, ' #Bushfires, #bots and #arson claims: #Aus…",0,Australia,Oceania,Australia and New Zealand
499,arson,HE HAS A FUCKING HEART AND A LITTLE RAINBOW EMBROIDERED ONTO HIS PANTS IM GOING TO COMMIT ARSON https://t.co/hF30TdQGpy,0,United States,Americas,Northern America
506,arson,"Anti CAA Protest:-Prof.Robin Verma released from Lucknow jail this morning. He was illegally detained, brutally tortured…",0,India,Asia,Southern Asia
507,arson,"In response to those spreading misinformation about arson being behind the horrific bushfire season in Australia, here are…",1,Australia,Oceania,Australia and New Zealand
509,arson,Perhaps we should put out a companion piece of the biggest Arson deniers.,0,Australia,Oceania,Australia and New Zealand
514,arsonist,Have I got this right #Arsonist in Chief of #AustraliaBurning Morrison is even smugger &amp; smirkier than usual bc he clai…,0,Australia,Oceania,Australia and New Zealand
516,arsonist,"In Bhainsa of Nirmal district(Telangana), stone pelter and arsonist mobs have selectively targeted hindu properties, v…",0,India,Asia,Southern Asia
517,arsonist,It’s called 185 arsonist!,0,United States,Americas,Northern America
521,arsonist,This is what happening in Bhainsa elections collude betweenTRS-Aimim(arsonist mob) #Bhainsaattacked #Bhainsaburnt s… https://t.co/OlEigmtEcy,0,India,Asia,Southern Asia
523,arsonist,Love to see a billionaire talking about climate change. It's lik… https://t.co/t6KNAi9umn,0,New Zealand,Oceania,Australia and New Zealand
